state,gender,median_home_val,avg_fam_income,avg_household_income,med_fam_income,median_household_income,hvp1,per_capita_income,pobc2,avggift,domain,target_d,med_fam_income_binned
MI,Male,2712.0,1079.0,989,1144.0,1022,81,49631.0,44,18,C1,25.0,Very High
KS,Female,958.0,582.0,525,499.0,467,8,18211.0,45,7,C1,10.0,Moderate
TN,Female,1129.0,537.0,429,445.0,332,12,22706.0,43,20,S1,25.0,Moderate
CA,Female,4984.0,777.0,734,702.0,630,98,27747.0,41,12,S1,50.0,Moderate
KS,Male,452.0,324.0,297,300.0,270,0,11198.0,62,14,C3,20.0,Low
FL,Male,986.0,539.0,530,495.0,485,11,18013.0,26,20,T1,25.0,Moderate
AR,Male,655.0,305.0,267,247.0,215,3,12067.0,31,14,R2,14.0,Low
KY,Male,459.0,258.0,237,195.0,133,0,13898.0,81,3,T2,6.0,Low
TX,Male,674.0,553.0,458,402.0,317,2,19769.0,57,5,0,10.0,Moderate
UT,Female,728.0,339.0,315,304.0,265,2,8896.0,54,10,S2,10.0,Low
CA,Male,4153.0,891.0,640,886.0,580,91,35520.0,41,12,S1,13.0,High
TX,Female,348.0,265.0,239,223.0,197,0,7978.0,87,10,R3,12.0,Low
SC,Female,869.0,511.0,465,505.0,426,4,17534.0,68,7,T1,10.0,Moderate
CA,Male,1876.0,450.0,419,404.0,393,24,11692.0,46,10,S2,15.0,Moderate
FL,Male,865.0,432.0,392,387.0,341,3,15630.0,21,6,S2,10.0,Moderate
CA,Male,666.0,288.0,268,253.0,213,1,8943.0,47,8,R3,10.0,Low
FL,Male,809.0,446.0,411,389.0,358,8,16099.0,32,13,S2,15.0,Moderate
CA,Male,4763.0,609.0,551,534.0,502,97,24002.0,42,9,S1,11.0,Moderate
CA,Female,0.0,0.0,0,0.0,0,0,0.0,0,15,U2,25.0,Low
MO,Female,987.0,412.0,344,354.0,296,1,17097.0,76,28,S2,28.0,Low
FL,Male,2444.0,782.0,737,780.0,729,70,28668.0,33,15,S1,15.0,High
TX,Male,503.0,292.0,262,255.0,213,1,9495.0,71,4,R2,5.0,Low
NM,Female,1004.0,313.0,236,247.0,189,0,12667.0,32,5,C2,5.0,Low
TX,Female,1565.0,784.0,704,780.0,717,0,27276.0,27,6,U3,6.0,High
CA,Female,872.0,356.0,343,307.0,294,0,12433.0,62,20,C2,25.0,Low
IN,Female,501.0,399.0,354,374.0,305,2,13073.0,61,20,R1,25.0,Low
WI,Female,331.0,273.0,217,237.0,154,0,10270.0,90,4,T3,5.0,Low
CA,Male,620.0,309.0,279,270.0,236,1,10406.0,60,12,S1,16.0,Low
SC,Male,747.0,488.0,396,457.0,369,0,18371.0,35,15,T1,17.0,Moderate
WA,Female,936.0,308.0,257,304.0,237,1,9875.0,48,9,U3,20.0,Low
NC,F,1491.0,566.0,472,489.0,396,22,26286.0,42,14,S2,20.0,Moderate
WA,Female,756.0,430.0,391,372.0,333,6,14127.0,57,8,R2,14.0,Low
TX,Female,487.0,262.0,247,222.0,217,0,10468.0,59,9,C3,16.0,Low
SC,Male,651.0,382.0,337,345.0,310,1,12428.0,73,7,T2,11.0,Low
OK,Female,693.0,486.0,439,479.0,404,0,16698.0,54,5,C2,5.0,Moderate
CA,Female,1063.0,223.0,206,148.0,150,10,6871.0,38,3,U4,3.0,Low
MI,Female,609.0,466.0,422,424.0,403,0,14455.0,87,19,T2,46.0,Moderate
LA,Male,732.0,459.0,432,374.0,366,0,16287.0,71,10,R1,17.0,Low
TX,F,439.0,341.0,307,301.0,268,0,10164.0,72,5,R2,6.0,Low
WA,Female,871.0,384.0,363,355.0,339,2,11889.0,51,9,T2,13.0,Low
AK,F,682.0,469.0,416,423.0,374,3,17213.0,29,15,R2,25.0,Moderate
MI,Female,313.0,274.0,220,256.0,159,0,7661.0,76,16,U4,35.0,Low
IL,Male,1059.0,528.0,392,513.0,334,0,17632.0,75,7,U2,10.0,Moderate
LA,Male,687.0,328.0,291,310.0,257,0,10271.0,79,9,T2,15.0,Low
IA,Male,397.0,313.0,296,270.0,248,0,10348.0,20,14,S3,20.0,Low
CA,Female,2516.0,691.0,641,649.0,595,80,22684.0,40,13,U1,16.0,Moderate
MT,F,747.0,387.0,347,318.0,289,3,14744.0,54,11,R1,5.0,Low
WI,Female,506.0,346.0,326,323.0,270,0,12940.0,81,8,T2,12.0,Low
IL,Female,412.0,380.0,342,354.0,311,0,13227.0,84,9,R2,22.0,Low
MI,F,360.0,267.0,233,239.0,206,1,9463.0,70,9,R3,20.0,Low
WA,Male,423.0,296.0,261,229.0,208,1,9445.0,43,4,R3,10.0,Low
GA,Female,745.0,342.0,353,275.0,304,1,14465.0,39,5,C3,7.0,Low
NM,Male,691.0,337.0,319,294.0,284,0,11852.0,46,17,U2,20.0,Low
OK,F,657.0,366.0,357,366.0,358,0,10889.0,34,10,C2,15.0,Low
TX,Female,978.0,609.0,475,559.0,428,1,23102.0,43,4,C1,3.0,Moderate
CA,Female,1586.0,369.0,337,321.0,308,10,11913.0,32,9,U3,15.0,Low
LA,F,587.0,331.0,317,302.0,291,0,10789.0,75,17,T2,10.0,Low
CA,Female,3304.0,669.0,629,614.0,567,82,21745.0,37,24,S1,25.0,Moderate
VA,Female,800.0,376.0,333,358.0,294,1,13480.0,63,4,S1,5.0,Low
MI,Male,1596.0,672.0,631,603.0,549,31,23345.0,71,10,T1,10.0,Moderate
CA,F,2105.0,395.0,372,314.0,301,55,13279.0,36,15,U4,20.0,Low
IL,Female,1480.0,718.0,635,684.0,560,25,22088.0,51,7,C1,10.0,Moderate
OR,Female,585.0,292.0,255,266.0,216,1,10423.0,42,9,C3,10.0,Low
MI,Female,1033.0,651.0,565,611.0,488,0,22157.0,72,10,S1,10.0,Moderate
IL,Male,340.0,252.0,217,178.0,147,0,7173.0,58,10,S3,20.0,Low
IL,F,1708.0,455.0,374,413.0,342,11,21795.0,70,12,S2,16.0,Moderate
KS,Female,1419.0,777.0,766,698.0,694,13,25024.0,29,7,S2,10.0,Moderate
CA,Female,2698.0,599.0,572,593.0,563,89,18228.0,49,10,U1,5.0,Moderate
CA,F,2688.0,449.0,418,367.0,306,88,24944.0,37,8,U2,15.0,Low
TN,Male,556.0,389.0,270,346.0,202,1,14382.0,81,13,R2,30.0,Low
TN,Male,972.0,318.0,281,278.0,193,16,8716.0,71,11,T2,15.0,Low
TX,Female,498.0,315.0,282,278.0,227,0,10907.0,62,7,C1,9.0,Low
FL,Male,878.0,410.0,349,331.0,285,10,16534.0,6,10,C2,12.0,Low
CA,Male,883.0,362.0,315,333.0,281,1,11791.0,59,14,R1,20.0,Low
NM,Female,670.0,290.0,282,287.0,231,2,9443.0,52,11,R2,20.0,Low
NM,Male,589.0,325.0,292,317.0,270,0,10889.0,45,8,C1,7.0,Low
CA,Female,2620.0,523.0,519,490.0,481,82,16047.0,36,14,S1,18.0,Moderate
IL,Male,677.0,489.0,442,466.0,426,0,18718.0,71,10,S2,20.0,Moderate
MO,Female,464.0,285.0,224,257.0,164,0,9685.0,64,8,C3,8.0,Low
NC,Male,600.0,349.0,292,308.0,257,1,12433.0,64,9,T2,10.0,Low
MI,Female,707.0,474.0,383,393.0,282,0,15832.0,73,4,U2,10.0,Moderate
CA,Female,1537.0,544.0,528,509.0,495,19,17689.0,58,11,S1,10.0,Moderate
SC,Female,682.0,498.0,421,464.0,366,2,14538.0,63,8,T2,8.0,Moderate
SD,Male,867.0,536.0,524,492.0,483,2,18757.0,51,12,T1,11.0,Moderate
CA,Female,1943.0,381.0,355,353.0,312,45,16083.0,54,20,S2,20.0,Low
FL,Male,1037.0,529.0,511,456.0,439,0,18050.0,27,10,S1,10.0,Moderate
IN,Female,595.0,406.0,333,317.0,284,0,13860.0,77,9,T2,16.0,Low
IL,Female,375.0,296.0,295,270.0,267,8,8354.0,13,20,T2,20.0,Low
AL,Female,397.0,386.0,336,329.0,229,1,13233.0,74,9,R3,15.0,Low
MI,Female,584.0,386.0,307,386.0,283,0,14843.0,68,15,0,5.0,Moderate
WA,F,534.0,272.0,248,231.0,206,1,9104.0,48,13,0,23.0,Low
MI,Male,362.0,275.0,246,235.0,209,0,8558.0,91,9,R3,10.0,Low
GA,Male,991.0,548.0,532,506.0,493,3,17344.0,46,5,T1,9.0,Moderate
CA,F,1805.0,447.0,441,394.0,398,33,14703.0,58,10,S2,20.0,Moderate
GA,F,2639.0,764.0,584,594.0,436,68,35502.0,39,15,C1,25.0,Moderate
MN,Female,476.0,304.0,236,274.0,202,0,10581.0,80,10,R2,15.0,Low
CA,Male,3393.0,580.0,589,553.0,537,97,22083.0,50,20,U1,25.0,Moderate
AE,Female,0.0,0.0,0,0.0,0,0,0.0,0,12,C1,50.0,Low
CA,F,2250.0,167.0,192,159.0,181,99,11346.0,16,6,U2,6.0,Low
TX,Female,340.0,279.0,235,227.0,180,1,9343.0,80,15,T2,20.0,Low
NC,Female,482.0,462.0,396,328.0,302,1,15573.0,72,12,T2,20.0,Low
WI,Female,322.0,320.0,291,258.0,233,0,10317.0,84,15,R1,25.0,Low
TX,Female,655.0,481.0,430,432.0,406,0,16426.0,72,9,S1,10.0,Moderate
MN,Female,908.0,493.0,499,482.0,487,0,14526.0,79,5,S2,5.0,Moderate
WA,Female,718.0,541.0,497,508.0,471,3,18190.0,59,11,T2,25.0,Moderate
CA,Male,2750.0,392.0,302,332.0,252,75,19558.0,20,10,U1,10.0,Low
GA,Male,397.0,285.0,237,219.0,184,1,9831.0,91,9,C1,20.0,Low
MI,Male,1040.0,278.0,256,309.0,220,4,14610.0,56,7,C1,9.0,Low
Arizona,Male,675.0,265.0,207,238.0,186,17,11355.0,7,6,C3,2.0,Low
FL,Male,719.0,410.0,389,398.0,381,0,13552.0,36,11,C2,12.0,Moderate
FL,F,588.0,266.0,254,249.0,233,1,10309.0,21,8,T2,5.0,Low
IL,Female,1053.0,465.0,402,419.0,368,0,15176.0,73,8,U4,10.0,Moderate
IL,Female,419.0,303.0,296,295.0,279,0,7285.0,72,12,S3,17.0,Low
TX,F,481.0,264.0,227,218.0,172,1,9264.0,79,15,R3,20.0,Low
GA,Female,803.0,441.0,432,407.0,397,2,15380.0,49,20,T2,25.0,Moderate
CA,Female,886.0,388.0,360,339.0,318,6,12332.0,58,5,R2,6.0,Low
NC,Female,1093.0,636.0,629,587.0,580,19,20815.0,37,7,S1,11.0,Moderate
MO,Female,257.0,273.0,194,264.0,148,0,10050.0,75,10,R2,16.0,Low
Arizona,Male,1453.0,497.0,486,426.0,419,17,24530.0,2,25,C1,10.0,Moderate
NC,Female,821.0,475.0,456,433.0,427,0,15937.0,64,6,S2,25.0,Moderate
TX,Male,931.0,725.0,543,636.0,416,12,29273.0,47,15,U1,15.0,Moderate
MO,Female,496.0,390.0,360,349.0,330,0,13546.0,87,5,T2,20.0,Low
MS,Female,463.0,258.0,227,231.0,181,0,8369.0,56,12,R3,30.0,Low
CA,Female,5649.0,888.0,801,828.0,750,96,37961.0,56,8,U1,10.0,High
FL,F,1093.0,441.0,392,424.0,364,2,15640.0,30,9,S2,25.0,Moderate
Arizona,Male,852.0,498.0,394,450.0,344,0,19967.0,14,12,C1,25.0,Moderate
CA,Female,3100.0,497.0,306,488.0,133,79,18262.0,25,18,U1,20.0,Moderate
FL,F,1074.0,553.0,528,524.0,505,4,16470.0,26,28,S2,30.0,Moderate
FL,F,1452.0,467.0,410,397.0,352,12,20619.0,5,25,C1,25.0,Moderate
MI,Female,813.0,313.0,297,263.0,246,6,11406.0,65,9,0,3.0,Low
TX,Male,333.0,319.0,278,219.0,205,0,10286.0,81,16,R2,25.0,Low
SC,Female,536.0,307.0,278,296.0,261,0,8438.0,88,4,C3,10.0,Low
MI,Female,850.0,495.0,465,501.0,484,2,17174.0,88,8,T2,5.0,Moderate
IL,Female,443.0,380.0,320,347.0,268,0,12966.0,87,5,R2,10.0,Low
MS,Male,467.0,308.0,260,261.0,206,1,9725.0,83,6,R2,6.0,Low
CA,Female,1207.0,488.0,458,303.0,284,8,19872.0,46,7,C2,10.0,Low
NE,Male,490.0,345.0,288,299.0,250,0,11320.0,84,3,T2,20.0,Low
NM,Female,805.0,289.0,237,243.0,207,0,10226.0,49,8,U2,20.0,Low
LA,Male,638.0,291.0,255,243.0,220,0,11076.0,54,15,U2,20.0,Low
CO,Male,1208.0,660.0,616,594.0,571,2,20295.0,38,15,S1,15.0,Moderate
MO,Male,198.0,297.0,261,252.0,208,0,9961.0,86,15,R3,10.0,Low
OR,Male,443.0,267.0,232,218.0,204,0,9473.0,21,10,T2,20.0,Low
MO,Female,1284.0,642.0,532,539.0,410,35,24921.0,74,13,S1,20.0,Moderate
MO,Male,675.0,365.0,343,352.0,312,1,10538.0,81,5,R2,15.0,Low
MI,Female,668.0,391.0,311,369.0,272,0,17206.0,75,6,S2,10.0,Low
FL,Female,575.0,289.0,255,259.0,232,0,9634.0,27,7,S2,14.0,Low
CA,Female,2375.0,571.0,535,471.0,428,75,23387.0,36,20,C1,8.0,Moderate
CA,Female,1091.0,397.0,382,348.0,330,9,14093.0,62,11,R2,20.0,Low
OR,Male,1015.0,422.0,404,360.0,354,5,13340.0,38,8,T2,15.0,Low
KS,Male,1413.0,755.0,727,665.0,634,21,27583.0,16,8,S1,16.0,Moderate
CA,Female,3738.0,683.0,599,581.0,534,86,26455.0,42,16,S1,20.0,Moderate
WA,Male,849.0,380.0,327,327.0,281,10,14308.0,48,13,C2,12.0,Low
OR,Female,871.0,390.0,362,344.0,309,8,15151.0,45,9,T2,12.0,Low
TX,Female,571.0,366.0,336,333.0,300,1,10689.0,67,15,T2,15.0,Low
WA,Male,0.0,89.0,63,68.0,55,0,8170.0,29,4,R3,5.0,Low
TX,F,375.0,232.0,208,207.0,182,0,8256.0,72,15,C3,15.0,Low
CA,Female,3435.0,614.0,560,546.0,490,91,26467.0,40,32,S1,50.0,Moderate
WA,Female,466.0,289.0,244,252.0,211,0,10094.0,61,5,R2,5.0,Low
CA,Male,1668.0,668.0,663,664.0,648,12,20187.0,60,13,C1,10.0,Moderate
FL,Male,546.0,322.0,344,256.0,283,0,10785.0,63,15,C3,15.0,Low
WI,Male,713.0,429.0,408,372.0,360,0,12547.0,91,11,R2,17.0,Low
NM,Male,576.0,338.0,304,355.0,263,1,12326.0,51,6,T2,10.0,Low
FL,Female,585.0,427.0,445,393.0,459,0,8656.0,33,13,S3,15.0,Moderate
CA,Female,2022.0,569.0,496,534.0,441,52,21300.0,44,4,U1,5.0,Moderate
Arizona,F,786.0,318.0,274,264.0,220,2,11624.0,27,6,R2,5.0,Low
CA,Female,1406.0,556.0,453,536.0,431,21,21369.0,35,15,U2,21.0,Moderate
GA,Female,503.0,324.0,287,275.0,239,1,10308.0,84,20,R2,15.0,Low
MO,Female,1602.0,593.0,561,475.0,459,32,18855.0,67,18,C1,24.0,Moderate
FL,Male,736.0,316.0,311,276.0,274,0,11510.0,16,10,S2,11.0,Low
LA,Female,393.0,213.0,178,147.0,130,0,5559.0,92,4,C3,5.0,Low
WI,Female,987.0,521.0,476,469.0,430,2,18625.0,80,10,S1,16.0,Moderate
NC,Female,529.0,326.0,284,301.0,254,1,11595.0,73,2,T2,2.0,Low
CA,Male,4933.0,816.0,762,736.0,691,94,37073.0,26,26,T1,30.0,Moderate
CA,Female,1178.0,573.0,543,507.0,482,0,16952.0,48,15,C1,36.0,Moderate
CA,Male,2397.0,459.0,402,486.0,409,77,16946.0,47,9,U2,20.0,Moderate
MO,Male,651.0,459.0,395,415.0,336,0,15058.0,75,3,R2,5.0,Moderate
TX,Female,1711.0,810.0,566,806.0,400,34,33841.0,66,16,C1,45.0,High
CA,Male,3663.0,818.0,784,777.0,749,87,27400.0,52,20,U1,20.0,High
SC,Female,473.0,373.0,333,319.0,300,0,11482.0,80,8,T2,10.0,Low
CA,Female,4954.0,1146.0,1086,1195.0,1106,99,42857.0,55,7,T1,15.0,Very High
TX,Male,775.0,467.0,489,465.0,494,1,14903.0,59,25,U1,10.0,Moderate
IN,Female,505.0,356.0,316,330.0,273,1,10974.0,43,20,R2,20.0,Low
WI,Male,416.0,340.0,292,297.0,247,0,11789.0,62,15,C3,5.0,Low
NC,F,678.0,335.0,303,289.0,260,4,11906.0,56,8,T2,7.0,Low
CA,Female,1158.0,386.0,373,398.0,369,3,11592.0,64,4,C2,3.0,Moderate
TN,Female,861.0,328.0,278,314.0,248,0,16517.0,44,7,S2,7.0,Low
SC,Female,407.0,260.0,221,193.0,157,0,7762.0,79,16,R2,22.0,Low
IL,Male,1094.0,444.0,421,388.0,363,2,15967.0,66,20,U2,51.0,Moderate
IL,Male,485.0,340.0,329,309.0,297,0,10899.0,60,21,C3,25.0,Low
GA,Female,517.0,416.0,389,375.0,327,0,12605.0,87,11,R2,25.0,Low
LA,Male,445.0,256.0,226,210.0,180,1,7560.0,96,6,T3,7.0,Low
NE,Male,2458.0,1118.0,1095,1203.0,1178,73,58088.0,56,13,S1,15.0,Very High
CA,Female,1428.0,297.0,322,277.0,301,3,9201.0,49,25,C2,20.0,Low
IL,Female,693.0,386.0,390,399.0,407,1,11864.0,81,6,T2,8.0,Moderate
IL,Male,873.0,319.0,251,291.0,211,0,14513.0,75,3,T2,5.0,Low
CA,Female,2807.0,542.0,504,497.0,478,92,17103.0,58,12,S2,14.0,Moderate
TX,Male,351.0,304.0,283,278.0,241,0,9113.0,61,14,S3,25.0,Low
CA,Female,2067.0,583.0,540,534.0,489,53,19624.0,54,450,C1,20.0,Moderate
IL,Female,999.0,496.0,465,453.0,411,12,15934.0,80,18,T2,21.0,Moderate
FL,Male,419.0,305.0,277,243.0,218,1,9540.0,53,8,R2,20.0,Low
IL,Male,962.0,465.0,361,479.0,327,1,14486.0,69,5,S2,11.0,Moderate
NM,Female,542.0,298.0,272,252.0,220,1,9481.0,56,11,R2,10.0,Low
OK,Male,780.0,414.0,345,323.0,278,1,14360.0,36,14,U2,10.0,Low
OK,Female,1229.0,700.0,555,649.0,546,4,30054.0,60,5,C1,5.0,Moderate
TX,Female,928.0,452.0,444,452.0,408,2,17067.0,48,12,S1,15.0,Moderate
KY,Male,335.0,195.0,166,205.0,137,0,6927.0,80,6,U4,15.0,Low
FL,Female,700.0,326.0,309,277.0,228,0,13851.0,27,15,S3,23.0,Low
IA,Male,337.0,301.0,258,265.0,220,0,8147.0,87,9,R2,15.0,Low
MI,Male,557.0,372.0,321,337.0,279,1,12466.0,69,9,R2,11.0,Low
CA,Female,3333.0,913.0,759,871.0,690,94,37495.0,50,20,S1,25.0,High
CA,Male,1126.0,285.0,275,261.0,243,6,8614.0,38,20,C3,25.0,Low
NE,Female,0.0,0.0,0,0.0,0,0,0.0,0,38,S2,43.0,Low
FL,Male,1987.0,633.0,567,524.0,403,49,29344.0,20,14,C1,30.0,Moderate
TX,Female,0.0,0.0,0,0.0,0,0,0.0,0,15,S2,21.0,Low
OR,Female,1093.0,483.0,386,431.0,315,7,15130.0,44,25,S2,25.0,Moderate
MO,Male,238.0,287.0,233,225.0,176,0,10253.0,82,6,R2,9.0,Low
TN,Female,966.0,569.0,547,528.0,517,2,18463.0,47,7,S1,5.0,Moderate
KY,Male,377.0,285.0,276,252.0,234,0,9657.0,85,10,R3,10.0,Low
NE,Female,825.0,503.0,453,459.0,417,2,16332.0,68,4,S1,4.0,Moderate
IL,Male,962.0,486.0,452,444.0,391,12,17404.0,67,35,R2,40.0,Moderate
NM,Male,1082.0,609.0,522,566.0,482,2,22454.0,24,10,0,7.0,Moderate
CA,Male,2362.0,678.0,655,632.0,613,74,21179.0,61,13,C1,15.0,Moderate
CA,F,2163.0,581.0,537,522.0,484,67,17262.0,66,4,U2,5.0,Moderate
MN,Male,359.0,269.0,203,258.0,168,1,9568.0,85,11,R2,20.0,Low
CA,Male,5854.0,993.0,920,1077.0,927,99,45167.0,43,28,S1,25.0,High
NC,Female,685.0,396.0,339,314.0,271,1,13235.0,67,5,T2,7.0,Low
NC,Female,603.0,329.0,239,215.0,173,4,12562.0,84,9,T2,15.0,Low
IL,Male,682.0,336.0,297,359.0,322,1,8194.0,62,12,U3,16.0,Low
KS,Male,581.0,402.0,349,349.0,295,1,13925.0,65,17,S2,20.0,Low
IL,Female,380.0,351.0,299,277.0,229,1,11773.0,86,11,R2,25.0,Low
FL,Female,1229.0,544.0,507,502.0,469,21,17313.0,30,7,T1,20.0,Moderate
SC,Female,689.0,350.0,343,320.0,313,0,12601.0,69,12,S2,15.0,Low
CA,Male,1715.0,660.0,647,619.0,607,34,21473.0,55,4,S1,4.5,Moderate
FL,Female,762.0,411.0,327,355.0,254,7,17458.0,13,8,0,18.0,Low
TX,Female,683.0,507.0,484,471.0,449,0,19552.0,50,6,T2,3.0,Moderate
WA,Female,1648.0,542.0,480,488.0,395,28,22216.0,50,8,S1,9.0,Moderate
CA,Female,5907.0,1144.0,1063,1340.0,1285,99,91205.0,26,16,S1,15.0,Very High
HI,Male,1473.0,382.0,395,324.0,327,23,12051.0,67,20,T2,20.0,Low
FL,Female,484.0,266.0,195,243.0,150,0,11909.0,11,20,T2,20.0,Low
CO,Male,645.0,313.0,251,308.0,214,0,14783.0,32,8,C2,10.0,Low
MI,Male,577.0,394.0,389,380.0,375,0,15853.0,74,9,R2,15.0,Moderate
WA,Male,1642.0,485.0,349,388.0,275,30,19679.0,32,11,S2,15.0,Moderate
TX,F,1163.0,526.0,439,459.0,378,11,23408.0,41,5,R2,5.0,Moderate
NC,Female,675.0,427.0,365,373.0,305,0,16318.0,69,6,C2,8.0,Low
MI,Female,602.0,391.0,363,366.0,336,0,12418.0,87,9,T2,10.0,Low
CA,Female,746.0,368.0,363,352.0,346,0,10165.0,64,15,T2,20.0,Low
MI,Female,459.0,533.0,280,518.0,116,0,19070.0,41,27,U2,100.0,Moderate
WA,Female,922.0,361.0,298,298.0,232,3,13725.0,52,8,T2,15.0,Low
FL,Female,833.0,387.0,329,350.0,277,0,14317.0,21,12,C2,25.0,Low
MN,Male,1793.0,849.0,832,796.0,781,38,27481.0,66,14,0,15.0,High
TN,Female,470.0,318.0,275,292.0,235,0,8963.0,80,12,U3,15.0,Low
OK,Female,338.0,284.0,242,254.0,203,0,9618.0,76,5,R2,5.0,Low
SC,Male,420.0,285.0,249,253.0,225,0,9634.0,90,4,R3,4.0,Low
TX,Male,1576.0,579.0,528,418.0,388,8,24013.0,71,12,U1,10.0,Moderate
WI,Female,677.0,370.0,334,303.0,282,0,11541.0,84,8,R2,8.0,Low
MI,Female,559.0,403.0,378,361.0,344,0,13072.0,85,11,R2,21.0,Low
FL,Male,731.0,432.0,401,385.0,350,4,13977.0,33,15,S2,10.0,Moderate
WA,Male,1196.0,456.0,382,406.0,327,4,16530.0,49,10,S2,10.0,Moderate
WI,Female,718.0,462.0,425,443.0,410,0,14721.0,80,8,T2,10.0,Moderate
MO,Male,460.0,297.0,257,265.0,223,0,9579.0,72,11,R3,20.0,Low
CA,Male,2257.0,523.0,488,541.0,485,78,17885.0,50,6,U1,10.0,Moderate
CO,Female,726.0,406.0,388,426.0,370,0,13631.0,37,9,S2,14.0,Moderate
CA,Male,1327.0,442.0,435,409.0,397,8,15850.0,54,11,S1,17.0,Moderate
FL,Male,956.0,417.0,412,344.0,348,3,13177.0,33,11,S3,20.0,Low
FL,Male,565.0,193.0,180,163.0,154,0,6724.0,31,6,T2,8.0,Low
OR,Male,987.0,485.0,400,440.0,361,1,18610.0,45,12,T2,19.0,Moderate
MN,Female,1138.0,672.0,602,613.0,545,1,23589.0,71,9,S1,16.0,Moderate
FL,Female,535.0,265.0,250,236.0,226,1,9934.0,32,4,S3,5.0,Low
IL,Female,427.0,253.0,121,141.0,71,0,6671.0,72,10,C2,20.0,Low
CA,Male,5806.0,896.0,830,871.0,778,99,50987.0,46,20,T1,20.0,High
WA,Female,1413.0,435.0,397,329.0,306,22,18792.0,46,6,R2,20.0,Low
WA,Female,1180.0,464.0,414,385.0,333,4,20815.0,54,12,S2,25.0,Moderate
AR,Male,318.0,152.0,113,105.0,53,0,3748.0,83,17,C3,16.0,Low
MI,Female,554.0,445.0,432,424.0,414,0,15267.0,69,7,T2,20.0,Moderate
TX,Female,1900.0,664.0,498,582.0,404,43,34592.0,38,5,U1,6.0,Moderate
Arizona,Male,866.0,491.0,428,453.0,387,1,24381.0,0,25,C2,25.0,Moderate
TX,Female,1223.0,538.0,444,419.0,313,22,17822.0,62,9,R1,15.0,Moderate
CA,Female,2324.0,484.0,445,404.0,374,64,14229.0,64,10,R1,25.0,Moderate
MO,Female,2528.0,686.0,542,591.0,439,53,32768.0,44,24,S1,10.0,Moderate
WA,Female,1183.0,628.0,379,528.0,217,26,24703.0,52,37,C1,25.0,Moderate
TX,Male,655.0,324.0,328,315.0,318,0,8044.0,41,8,S2,15.0,Low
NC,Female,399.0,295.0,249,259.0,211,0,9617.0,79,6,T3,10.0,Low
MN,Male,418.0,403.0,244,290.0,190,0,13707.0,88,10,T2,15.0,Low
IL,Male,595.0,419.0,406,394.0,385,0,12802.0,63,8,U2,11.0,Moderate
IL,Male,0.0,0.0,0,0.0,0,0,0.0,0,11,U1,10.0,Low
SC,Female,548.0,388.0,340,327.0,289,2,11933.0,72,11,T2,25.0,Low
TX,Female,1125.0,279.0,246,287.0,227,0,15743.0,55,10,S1,20.0,Low
CA,Female,3626.0,838.0,795,785.0,749,96,30685.0,45,12,U2,20.0,High
NE,Female,503.0,308.0,290,267.0,261,0,9917.0,61,8,T2,10.0,Low
AR,F,545.0,301.0,301,265.0,257,1,10669.0,59,17,C2,21.0,Low
AL,Female,455.0,389.0,321,350.0,257,1,13452.0,84,12,R2,10.0,Low
GA,Male,1201.0,507.0,426,408.0,317,3,19960.0,52,7,S1,21.0,Moderate
TX,Male,592.0,359.0,240,406.0,188,0,14406.0,53,16,C1,23.0,Moderate
WI,Female,614.0,428.0,377,388.0,340,1,14439.0,88,7,T2,10.0,Moderate
MT,Female,423.0,344.0,295,296.0,256,0,10311.0,75,11,R2,20.0,Low
IL,Male,302.0,203.0,207,216.0,208,0,5668.0,67,11,U4,10.0,Low
AK,Female,1157.0,559.0,448,514.0,365,8,21892.0,33,7,T2,10.0,Moderate
CA,Female,2312.0,589.0,531,516.0,456,63,21372.0,44,6,S1,2.0,Moderate
FL,Male,440.0,254.0,220,186.0,164,0,8444.0,41,9,C3,25.0,Low
MN,Female,569.0,350.0,317,315.0,276,1,12795.0,84,9,T2,15.0,Low
WY,Female,680.0,457.0,406,393.0,353,1,14347.0,39,9,R1,15.0,Moderate
TN,Male,690.0,411.0,263,371.0,194,1,13120.0,57,5,C2,5.0,Low
IL,Female,438.0,156.0,165,146.0,159,17,3975.0,58,20,U4,36.0,Low
CA,Female,2166.0,445.0,457,402.0,415,68,16471.0,52,8,S2,10.0,Moderate
MS,Male,394.0,252.0,227,220.0,188,0,8350.0,89,25,R2,20.0,Low
KY,Female,630.0,361.0,321,327.0,300,0,13719.0,55,9,T2,10.0,Low
CA,Male,3276.0,555.0,436,478.0,358,92,23535.0,40,25,S1,75.0,Moderate
FL,Female,1171.0,570.0,544,512.0,483,9,19553.0,20,5,S1,7.0,Moderate
TN,Male,1103.0,524.0,497,503.0,467,3,17130.0,74,15,T1,15.0,Moderate
WI,Male,673.0,348.0,296,335.0,293,0,12900.0,88,11,T2,15.0,Low
CA,Female,1633.0,351.0,306,318.0,286,8,16765.0,13,5,S2,11.0,Low
KY,Male,428.0,334.0,240,304.0,166,4,13608.0,71,9,C3,12.0,Low
TX,Female,262.0,228.0,186,194.0,150,0,8475.0,67,15,T3,5.0,Low
MI,Female,905.0,605.0,549,533.0,470,0,21564.0,70,7,S2,10.0,Moderate
CA,Female,1693.0,492.0,457,467.0,423,23,17493.0,58,11,S1,15.0,Moderate
